date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2026-03-10,4098.59,4123.14,4123.96,4098.59,674922194,1036427205293.40,0.62,0.65,26.54,1.41
2026-03-11,4123.67,4133.43,4135.84,4112.80,707727169,1063600874394.30,0.56,0.25,10.29,1.47
2026-03-12,4133.20,4129.10,4141.65,4103.16,786151182,1078215329773.10,0.93,-0.10,-4.33,1.64
2026-03-13,4117.57,4095.45,4134.08,4086.85,792054764,1063918169396.40,1.14,-0.81,-33.65,1.65
2026-03-16,4092.25,4084.79,4096.13,4048.09,732227098,1037223833962.60,1.17,-0.26,-10.66,1.53
2026-03-17,4086.30,4049.91,4108.40,4049.58,678771224,951228129260.70,1.44,-0.85,-34.88,1.41
2026-03-18,4053.31,4062.98,4065.37,4023.03,623873102,876327491359.60,1.05,0.32,13.07,1.30
2026-03-19,4028.54,4006.55,4042.02,3994.17,667255422,935264956106.70,1.18,-1.39,-56.43,1.39
2026-03-20,4004.57,3957.05,4022.70,3955.71,666798387,964863108628.70,1.67,-1.24,-49.50,1.39
2026-03-23,3904.95,3813.28,3906.62,3794.68,804738850,1086248286013.60,2.83,-3.63,-143.77,1.68
2026-03-24,3849.63,3881.28,3881.42,3807.99,680622039,931418842711.40,1.93,1.78,68.00,1.42
2026-03-25,3892.27,3931.84,3933.06,3891.82,688343626,967854261244.50,1.06,1.30,50.56,1.43
2026-03-26,3924.96,3889.08,3937.10,3880.57,615973981,848361335072.30,1.44,-1.09,-42.76,1.28
2026-03-27,3852.09,3913.72,3924.11,3852.09,561342963,799696430885.60,1.85,0.63,24.64,1.17
2026-03-30,3884.28,3923.29,3924.29,3872.78,595589479,839822434665.30,1.32,0.24,9.57,1.24
2026-03-31,3924.07,3891.86,3948.81,3891.86,606704983,891945339553.70,1.45,-0.80,-31.43,1.26
2026-04-01,3939.57,3948.55,3955.94,3929.92,564611598,897278213909.00,0.67,1.46,56.69,1.18
2026-04-02,3940.80,3919.29,3952.58,3900.12,544212835,811896566971.70,1.33,-0.74,-29.26,1.13
